@RELATION changeToArff

@ATTRIBUTE bidnumber REAL
@ATTRIBUTE bidtext REAL
@ATTRIBUTE numberofdicetobid REAL
@ATTRIBUTE diceselectedforcurrentbid REAL
@ATTRIBUTE die1 REAL
@ATTRIBUTE die2 REAL
@ATTRIBUTE die3 REAL
@ATTRIBUTE die4 REAL
@ATTRIBUTE die5 REAL
@ATTRIBUTE remainingdice REAL
@ATTRIBUTE round REAL
@ATTRIBUTE somestat REAL
@ATTRIBUTE 0or1 REAL

@DATA
5,2,3,1,4,5,1,?,?,8,13,2.79,1
?,?,1,1,4,2,3,?,?,7,14,16.74,1
6,2,3,1,4,2,3,?,?,7,14,0.54,0
?,?,1,1,4,2,?,?,?,6,15,16.74,1
2,2,3,1,4,2,?,?,?,6,15,0.54,1
?,?,1,1,5,6,?,?,?,5,16,17.13,1
6,1,2,1,5,6,?,?,?,5,16,3.24,0
2,4,5,1,1,1,5,6,6,20,1,0.46,1
6,3,4,1,2,4,5,3,3,19,2,0.08,1
6,5,6,1,2,4,5,3,3,19,2,0,0
?,?,1,1,6,5,6,5,?,18,3,16.67,1
3,4,5,1,6,5,6,5,?,18,3,0.01,1
2,2,3,1,3,4,6,1,?,17,4,2.78,1
6,2,3,1,3,1,5,6,?,16,5,2.78,1
2,4,5,1,3,1,5,6,?,16,5,0.08,0
?,?,1,1,3,4,2,?,?,15,6,16.67,1
5,3,4,1,3,4,2,?,?,15,6,0.08,1
6,2,3,1,1,4,1,?,?,14,7,16.67,1
5,5,6,1,1,4,1,?,?,14,7,0.08,0
?,?,1,1,3,1,?,?,?,13,8,100,1
2,3,4,1,3,1,?,?,?,13,8,0.46,1
1,3,4,1,5,1,?,?,?,12,9,0.46,1
5,2,3,1,5,5,?,?,?,11,10,0.46,1
5,4,5,1,5,5,?,?,?,11,10,0.01,1
3,3,4,1,6,2,?,?,?,10,11,0.08,1
6,2,3,1,3,3,?,?,?,9,12,0.46,1
?,?,1,1,6,3,?,?,?,8,13,16.67,1
5,2,3,1,6,3,?,?,?,8,13,0.47,1
5,3,4,1,6,3,?,?,?,8,13,0.08,1
5,3,4,1,6,3,?,?,?,8,13,0.08,0
?,?,1,1,5,?,?,?,?,7,14,16.67,1
4,3,4,1,5,?,?,?,?,7,14,0.08,0
1,4,5,1,5,2,2,2,2,20,1,0.01,1
6,3,4,1,3,3,3,1,3,19,2,0.46,1
4,2,3,1,4,3,5,5,1,18,3,2.78,1
2,4,5,1,4,3,5,5,1,18,3,0.08,0
?,?,1,1,4,4,4,5,?,17,4,16.67,1
4,3,4,1,4,4,4,5,?,17,4,0.08,1
2,3,4,1,2,1,6,4,?,16,5,0.46,1
6,5,6,1,2,1,6,4,?,16,5,0.01,0
?,?,1,1,3,1,1,?,?,15,6,100,1
2,4,5,1,3,1,1,?,?,15,6,0.46,1
6,2,3,1,6,2,5,?,?,14,7,0.46,1
6,3,4,1,6,2,5,?,?,14,7,0.08,0
?,?,1,1,5,4,?,?,?,13,8,16.67,1
5,2,3,1,5,4,?,?,?,13,8,0.46,1
5,5,6,1,5,4,?,?,?,13,8,0,0
?,?,1,1,5,?,?,?,?,12,9,16.67,1
6,3,4,1,5,?,?,?,?,12,9,0.08,0
1,4,5,1,2,6,2,5,5,20,1,0.01,1
2,3,4,1,4,1,1,5,6,19,2,2.78,1
4,2,3,1,1,1,6,2,1,18,3,100,1
3,4,5,1,1,1,6,2,1,18,3,2.78,1
5,3,4,1,3,4,5,4,1,17,4,0.46,0
?,?,1,1,1,3,4,4,?,16,5,100,1
6,3,4,1,1,3,4,4,?,16,5,0.46,1
5,2,3,1,1,2,3,4,?,15,6,2.78,1
5,4,5,1,1,2,3,4,?,15,6,0.08,0
?,?,1,1,3,1,2,?,?,14,7,100,1
